OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ShapeSTArea,ShapeSTLength
59,Polcari Park,City of Boston,A97,3,Central Boston,0.288573,Opposite 44 Prince Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,12570.44605,529.043123
60,Cutillo Park,City of Boston,A97,3,Central Boston,0.284919,Opposite 15 Stillman Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,12603.56836,505.561349
61,City Hall Plaza,BRA,A97,1,Central Boston,5.931465, ,Open Space District,"Malls, Squares & Plazas",NULL, ,X,X,261953.2034,2862.081899
62,Cardinal Cushing Park I,BRA,,1,Central Boston,0.35,"IFO 15 New Chardon Street (""One Bowdoin Square"")",Open Space District,"Malls, Squares & Plazas",NULL, ,N,X,15275.91748,486.708447
63,King's Chapel Burying Ground,City of Boston,A97/NRHP,4,Central Boston,0.430548,Adjacent to 58 Tremont Str.,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD, ,X,X,18755.0061,548.900729
64,Old City Hall Grounds,BRA,A97,1,Central Boston,0.226759, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,Private,N,X,9877.784912,424.154683
65,Norman B. Leventhal Park,Private,A97/Agrmnt,3,Central Boston,1.545219,130 Congress Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BRA,Private,X,X,67832.95117,1076.306888
66,Pemberton Square I,BRA, ,1,Central Boston,0.184852, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X,8052.312988,379.31785
67,Pemberton Square II,City of Boston, ,1,Central Boston,1.062165, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X,46268.72119,1543.077362
68,Angell Memorial Square,City of Boston,A97,1,Central Boston,0.176631,Congress Str.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X,7694.176514,390.127312
69,Union Street Park I,BRA,A97,1,Central Boston,0.51,Between Union Street & Congress Street opposite City Hall,Open Space District,"Malls, Squares & Plazas",NULL,BPRD,X,X,22141.729,908.922201
70,Langone Park,City of Boston,A97/Ch91/WPA,3,Central Boston,2.344908,529 Commercial Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,102146.0061,1559.905753
71,School Street Park,BRA, ,1,Central Boston,0.08,Opposite 308 Washington St,Special District,"Malls, Squares & Plazas",NULL,Private,N,X,3257.809326,246.634791
72,Prince Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Central Boston,1.28, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X,55927.80835,2133.610245
73,Ausonia Plaza,BRA, ,1,Central Boston,0.19624, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X,8548.346924,373.321453
74,Rachel Revere Square,City of Boston,A97,1,Central Boston,0.078592,210 North St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,3500.370117,238.443306
75,Tai Tung Park,City of Boston,A97,3,Central Boston,0.033239,"110 Tyler Street, Corner w/Tai Tung St.",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,1458.972656,185.311413
76,Pine Street Park,BRA, ,3,Central Boston,0.271661, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,12309.17969,543.203011
77,Quincy Market Square,BRA, ,1,Central Boston,1.56, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,Private,N,X,67903.1416,3500.21832
78,Winthrop Square,City of Boston, ,1,Central Boston,0.152686, ,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL, ,N,X,6651.144531,339.152275
79,Edwards Playground,City of Boston,A97,3,Charlestown,1.34,10 Eden Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,58311.89282,1051.742739
80,City Square,Commonwealth of Massachusetts,A97/LL,1,Charlestown,1.21, ,Open Space District,"Malls, Squares & Plazas",DCR, ,X,X,52650.46021,912.826571
81,John Harvard Mall,City of Boston,A97,1,Charlestown,0.829771, ,Residential District,"Malls, Squares & Plazas",BPRD, ,X,X,36145.45215,934.55048
82,Paul Revere Park,Commonwealth of Massachusetts,A97,2,Charlestown,6.40013, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X,278794.6118,2132.106147
83,Charlestown HS Athletic Fields,City of Boston,Ch91/WPA,3,Charlestown,10.42,Opposite 240 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X,453734.6089,5785.193682
84,Ryan Playground,City of Boston,A97/Ch91/WPA,3,Charlestown,8.78,62 Alford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,382283.0789,2922.478713
85,Gardens for Charlestown,Private,Land Trust,5,Charlestown,0.362915, ,Commercial/Office/Business District,Community Gardens,NULL, ,N, ,15808.84863,512.373704
86,Barry Playground,City of Boston,A97/Ch91/WPA,3,Charlestown,3.32,41 Medford St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,154686.3943,1668.701864
87,Doherty Playground,City of Boston,A97/USH,3,Charlestown,3.021756,349 Bunker Hill Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,131630.0383,1912.387317
88,St Francis De Sales Cemetery,Private, ,4,Charlestown,1.795384, ,Residential District,Cemeteries & Burying Grounds,NULL, ,N, ,78208.31836,1357.77016
89,Bunker Hill Monument,United States of America,A97/NRHP/PR,1,Charlestown,3.75284, ,Residential District,"Malls, Squares & Plazas",National Park Service, ,X,X,163476.616,1620.876188
90,Phipp's Street Burying Ground,City of Boston,Ch114S7/A97,4,Charlestown,1.747871, ,Residential District,Cemeteries & Burying Grounds,BPRD, ,X,A,74996.573,1071.119256
91,Winthrop Square,City of Boston,A97,1,Charlestown,0.9,"Winthrop, Common, Adams Sts.",Residential District,"Malls, Squares & Plazas",BPRD, ,X,X,39238.97363,753.054851
92,Hayes Square,City of Boston,A97,1,Charlestown,0.174705,Between Bunker Hill and Vine St.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X,7610.304199,378.056151
93,Charlestown Sprouts Garden,City of Boston, ,5,Charlestown,0.48, ,Open Space District,Community Gardens,NULL, ,N, ,20758.90405,558.926316
94,East Boston Memorial Park I,City of Boston,A97,3,East Boston,14.790605, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,770074.5161,7044.28158
95,Noyes Playground,City of Boston,A97,3,East Boston,8.223748,Opposite 33 Boardman Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,358232.8513,2728.83885
96,Bayswater Street,Massport, ,6,East Boston,1.703956, ,Special District,Urban Wilds & Natural Areas,Massport, ,N,X,74225.65649,3858.311085
97,Temple Ohabei Shalom Cemetery,Private, ,4,East Boston,2.339482, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N, ,101909.6418,1291.848112
98,McLean Playground,City of Boston,A97,3,East Boston,0.429665,Between Bennington & Saratoga St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,18716.5437,549.635285
99,Cuneo Park,City of Boston,A97,3,East Boston,0.230672, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,10048.26758,400.930102
100,Bennington Street Cemetery,City of Boston,Ch114S7/A97,4,East Boston,3.589741,Opposite 490 Bennington Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,A,156371.9194,1595.048628
101,American Legion Playground,City of Boston,A97,3,East Boston,3.383881,24 Glendon Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,147249.7583,1538.690942
102,Prescott Square,City of Boston,A97,1,East Boston,0.2778,Between Trenton and Eagle St.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,11965.56885,479.950343
103,Putnam Square,City of Boston,A97,1,East Boston,0.26354, ,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,11622.74292,474.594086
104,Paris Street Playground,City of Boston,A97,3,East Boston,0.794498,121 Paris Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,34608.94385,889.17243
105,Brophy Park,City of Boston,A97,3,East Boston,0.773831,Opposite 195 Webster Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,34084.66699,773.872963
106,Sumner & Lamson Street Playground,City of Boston,A97,3,East Boston,0.483576,Opposite 492 Sumner Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,20849.09839,617.092145
107,Joe Ciampa Garden,BNAN,Land Trust,5,East Boston,0.22171, ,Open Space District,Community Gardens,NULL, ,N, ,9784.936768,397.564139
108,Condor Street Beach I,City of Boston,A97/LWCF/Ch91/W,6,East Boston,2.74,Opposite 255 Condor St. & American Legion Playground,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X,119514.5767,1928.254293
109,Festa Field,Massport, ,3,East Boston,0.994451, ,Special District,"Parks, Playgrounds & Athletic Fields",Massport, ,N, ,43319.03467,841.56981
110,Eagle Hill Memorial Park Garden,BNAN,Land Trust,5,East Boston,0.153155, ,Residential District,Community Gardens,NULL, ,N, ,6671.542236,326.935205
111,East Boston Greenway,City of Boston,A97/WPA,2,East Boston,2.610964,144 Marginal Str.,Residential District,"Parkways, Reservations & Beaches",BPRD, ,X,X,152528.7363,5457.495376
112,Dom Savio Athletic Field,Private, ,3,East Boston,3.110708, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,135504.8345,1801.650829
113,Fenway Park Field,Private, ,3,Fenway/Kenmore,2.78, ,Industrial District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,121268.3386,1376.706451
114,Symphony Community Park,City of Boston,A97,3,Fenway/Kenmore,0.496796,Edgerly Road btwn Norway and Burbank Sts.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,20803.84204,777.079468
115,Edgerly Road Playground,City of Boston,A97,3,Fenway/Kenmore,0.108116,6 Edgerly Road,Special District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,5366.225342,301.104383
116,Symphony Road Garden,BNAN,Land Trust,5,Fenway/Kenmore,0.297886, ,Residential District,Community Gardens,NULL, ,N, ,12976.15161,492.493105
117,Wentworth Field,Private, ,3,Fenway/Kenmore,2.981507, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, ,129876.7544,1603.724621
118,Oscar Tugo Circle,City of Boston, ,1,Fenway/Kenmore,0.057553, ,Residential District,"Malls, Squares & Plazas",NULL, ,N,X,2507.057861,195.253336
